Sigma,Ancilla Count,Energies,Mean Probability,Variance
5.0,6,-0.6706275862068967,0.061533203125,0.0023905037879943846
5.0,6,-0.6032689655172414,0.03763671875,0.004927681350708008
5.0,6,-0.5359103448275864,0.03724609375,0.0028325847625732432
5.0,6,-0.4685517241379311,0.040791015625,0.002609512424468994
5.0,6,-0.40119310344827586,0.111181640625,0.0046960186958312986
5.0,6,-0.3338344827586208,0.16138671875,0.0015582489013671874
5.0,6,-0.26647586206896556,0.25267578125,0.000600817108154297
5.0,6,-0.19911724137931053,0.245927734375,0.000642410373687744
5.0,6,-0.13175862068965527,0.203525390625,0.0015964764595031737
5.0,6,-0.0644,0.117822265625,0.002557079792022705
10.0,6,-2.0178,0.026767578125,0.0011899727821350098
10.0,6,-1.9504413793103446,0.08607421875,0.0032733825683593735
10.0,6,-1.8830827586206895,0.2496875,0.0008713031768798826
10.0,6,-1.8157241379310343,0.20154296875,0.002115083312988281
10.0,6,-1.7483655172413792,0.083623046875,0.003338306522369385
10.0,6,-1.681006896551724,0.03271484375,0.0019882965087890626
10.0,6,-1.6136482758620687,0.013154296875,0.0004435769081115723
10.0,6,-1.5462896551724137,0.01388671875,0.00045540008544921857
10.0,6,-1.4789310344827586,0.02248046875,0.0006492134094238282
10.0,6,-1.4115724137931034,0.02669921875,0.0012230533599853514
10.0,6,-1.3442137931034481,0.0811328125,0.0021363101959228515
10.0,6,-1.276855172413793,0.22021484375,0.0008803939819335937
10.0,6,-1.2094965517241378,0.219111328125,0.0012691193580627441
10.0,6,-1.1421379310344828,0.06310546875,0.0018060832977294925
10.0,6,-1.0747793103448275,0.0261328125,0.0019279502868652337
10.0,6,-1.0074206896551725,0.059365234375,0.004049855136871338
10.0,6,-0.9400620689655173,0.162744140625,0.0019518780708313002
10.0,6,-0.872703448275862,0.2462109375,0.00011462745666503903
10.0,6,-0.805344827586207,0.1101953125,0.002631172561645507
10.0,6,-0.7379862068965517,0.048662109375,0.002866922473907471
10.0,6,-0.6706275862068967,0.017431640625,0.0005962300300598141
10.0,6,-0.6032689655172414,0.01658203125,0.0007907958984375
10.0,6,-0.5359103448275864,0.01640625,0.0005604743957519534
10.0,6,-0.4685517241379311,0.02638671875,0.0014146800994873049
10.0,6,-0.40119310344827586,0.0204296875,0.0006713424682617189
10.0,6,-0.3338344827586208,0.0774609375,0.003396594619750977
10.0,6,-0.26647586206896556,0.218203125,0.0009768833160400392
10.0,6,-0.19911724137931053,0.23638671875,0.0007439388275146485
10.0,6,-0.13175862068965527,0.07447265625,0.002503635787963867
10.0,6,-0.0644,0.028466796875,0.001162550449371338
5.0,8,-2.0178,0.075703125,0.0022119041442871085
5.0,8,-1.9504413793103446,0.1660546875,0.0017967971801757807
5.0,8,-1.8830827586206895,0.247490234375,4.918107986450196e-05
5.0,8,-1.8157241379310343,0.24560546875,0.00017325401306152343
5.0,8,-1.7483655172413792,0.14328125,0.002251140213012695
5.0,8,-1.681006896551724,0.054248046875,0.0017174458503723142
5.0,8,-1.6136482758620687,0.02734375,0.0017643451690673828
5.0,8,-1.5462896551724137,0.01873046875,0.001405084228515625
5.0,8,-1.4789310344827586,0.027763671875,0.0008244324684143069
5.0,8,-1.4115724137931034,0.061376953125,0.0018180012702941897
5.0,8,-1.3442137931034481,0.15525390625,0.0015136714935302736
5.0,8,-1.276855172413793,0.251376953125,0.00012056055068969725
5.0,8,-1.2094965517241378,0.2508984375,9.319648742675782e-05
5.0,8,-1.1421379310344828,0.187265625,0.0032370399475097657
5.0,8,-1.0747793103448275,0.127861328125,0.006544447040557859
5.0,8,-1.0074206896551725,0.15849609375,0.005930652618408205
5.0,8,-0.9400620689655173,0.222666015625,0.001100888156890869
5.0,8,-0.872703448275862,0.266630859375,0.00039716157913207995
5.0,8,-0.805344827586207,0.1913671875,0.0006388458251953126
5.0,8,-0.7379862068965517,0.087841796875,0.002473022937774658
5.0,8,-0.6706275862068967,0.03919921875,0.0014686302185058597
5.0,8,-0.6032689655172414,0.02791015625,0.0021217285156250004
5.0,8,-0.5359103448275864,0.012421875,0.0004318824768066406
5.0,8,-0.4685517241379311,0.02611328125,0.0010882209777832031
5.0,8,-0.40119310344827586,0.0666796875,0.003446284866333008
5.0,8,-0.3338344827586208,0.155703125,0.001393686676025391
5.0,8,-0.26647586206896556,0.22435546875,0.00030617942810058597
5.0,8,-0.19911724137931053,0.24052734375,0.00015158653259277343
5.0,8,-0.13175862068965527,0.18748046875,0.0009635063171386722
5.0,8,-0.0644,0.079052734375,0.0023704457283020013
10.0,8,-2.0178,0.009150390625,0.0002021294593811035
10.0,8,-1.9504413793103446,0.06759765625,0.002758123016357422
10.0,8,-1.8830827586206895,0.212919921875,0.00031669054031372075
10.0,8,-1.8157241379310343,0.195341796875,0.0005452672004699705
10.0,8,-1.7483655172413792,0.03873046875,0.0012824863433837889
10.0,8,-1.681006896551724,0.007685546875,0.00015531358718872068
10.0,8,-1.6136482758620687,0.004365234375,9.487543106079103e-05
10.0,8,-1.5462896551724137,0.005322265625,0.00019163370132446278
10.0,8,-1.4789310344827586,0.004140625,0.00012610664367675782
10.0,8,-1.4115724137931034,0.0073828125,0.00020717277526855464
10.0,8,-1.3442137931034481,0.047607421875,0.0016470074653625489
10.0,8,-1.276855172413793,0.212255859375,0.0007614636421203613
10.0,8,-1.2094965517241378,0.197490234375,0.0004914971351623536
10.0,8,-1.1421379310344828,0.053115234375,0.0018399266242980954
10.0,8,-1.0747793103448275,0.014169921875,0.0009711503028869628
10.0,8,-1.0074206896551725,0.024453125,0.001483467483520508
10.0,8,-0.9400620689655173,0.13171875,0.0025199085235595702
10.0,8,-0.872703448275862,0.234912109375,9.596109390258788e-05
10.0,8,-0.805344827586207,0.071572265625,0.0016221150398254393
10.0,8,-0.7379862068965517,0.013564453125,0.00039186754226684564
10.0,8,-0.6706275862068967,0.003046875,2.5983428955078138e-05
10.0,8,-0.6032689655172414,0.003671875,6.768455505371094e-05
10.0,8,-0.5359103448275864,0.00359375,4.936943054199219e-05
10.0,8,-0.4685517241379311,0.002216796875,1.1894321441650393e-05
10.0,8,-0.40119310344827586,0.00541015625,0.00011916961669921879
10.0,8,-0.3338344827586208,0.038505859375,0.0014235211372375484
10.0,8,-0.26647586206896556,0.16841796875,0.0008203872680664063
10.0,8,-0.19911724137931053,0.21654296875,0.0005600761413574219
10.0,8,-0.13175862068965527,0.05296875,0.0019513725280761718
10.0,8,-0.0644,0.012890625,0.0006392574310302737
15,2,-2.0178,0.255537109375,0.021911789035797123
15,2,-1.9504413793103446,0.28587890625,0.02078528633117676
15,2,-1.8830827586206895,0.414580078125,0.011801799869537355
15,2,-1.8157241379310343,0.44201171875,0.01784135398864746
15,2,-1.7483655172413792,0.295244140625,0.021159940814971922
